id,G_Played,Pts,Reb,Asist
2590,67,5.1,1.5,2.1
2591,75,13.5,3.9,6.5
2592,17,1.4,0.2,0.1
2593,34,3.1,2.0,0.4
2594,65,4.6,2.7,1.4
2595,76,13.6,8.2,2.0
2596,74,17.0,6.0,2.8
2597,58,2.9,1.9,1.5
2598,81,11.1,3.1,2.0
2599,61,2.7,2.7,0.4
2600,82,10.7,4.9,1.1
2601,81,16.5,4.7,10.9
2602,27,1.9,1.3,0.1
2603,82,11.8,3.4,5.7
2604,23,1.1,1.6,0.1
2605,53,3.1,2.0,0.1
2606,75,15.7,8.4,1.2
2607,80,12.0,4.4,4.1
2608,60,31.4,4.5,5.5
2609,44,13.1,6.3,1.2
2610,58,7.2,3.9,1.8
2611,79,4.8,4.9,0.5
2612,82,7.2,4.1,0.9
2613,48,12.2,4.0,3.7
2614,45,5.4,1.0,1.8
2615,30,3.7,1.7,0.6
2616,15,4.0,2.2,0.9
2617,26,5.5,3.7,0.4
2618,9,6.4,2.2,0.9
2619,77,20.4,3.3,2.5
2620,46,4.3,2.5,4.7
2621,83,4.5,4.4,1.5
2622,82,19.7,6.8,2.0
2623,47,3.2,1.2,2.3
2624,80,7.6,13.0,1.4
2625,82,18.1,4.3,8.5
2626,68,7.9,1.0,4.2
2627,76,6.8,3.9,1.0
2628,63,4.5,4.0,0.7
2629,78,10.0,3.3,3.5
2630,10,11.3,5.5,1.8
2631,5,1.8,1.8,1.0
2632,77,14.5,9.6,2.0
2633,82,9.2,2.1,2.8
2634,81,22.1,8.8,5.0
2635,82,9.0,2.5,2.2
2636,28,3.9,2.2,0.4
2637,34,2.8,0.9,1.4
2638,82,9.6,7.9,4.2
2639,26,2.0,2.3,0.3
2640,75,4.4,2.9,0.6
2641,69,19.3,5.8,3.0
2642,82,20.0,6.1,3.8
2643,27,3.1,0.9,0.8
2644,82,15.1,4.5,1.4
2645,6,4.8,1.0,1.3
2646,82,9.4,3.9,1.0
2647,36,12.3,9.1,1.3
2648,78,3.0,1.6,1.3
2649,78,17.6,6.6,1.7
2650,69,15.5,5.2,2.9
2651,12,0.8,0.8,0.3
2652,52,4.5,3.3,0.3
2653,72,6.9,4.7,1.0
2654,67,8.4,3.6,1.0
2655,14,1.7,0.5,1.2
2656,12,1.3,0.7,0.8
2657,66,7.4,2.4,2.9
2658,4,1.0,1.8,0.0
2659,54,3.2,2.9,0.7
2660,9,0.0,0.7,0.9
2661,67,5.0,6.1,1.0
2662,72,19.2,5.5,2.0
2663,46,3.2,1.5,2.0
2664,79,25.9,7.3,4.4
2665,82,4.7,2.1,4.6
2666,47,0.8,1.2,0.1
2667,75,6.4,3.4,0.7
2668,55,15.9,2.7,5.2
2669,82,5.7,2.6,1.3
2670,78,7.8,1.9,3.2
2671,65,15.6,5.2,2.6
2672,8,2.3,1.0,0.4
2673,80,5.0,2.9,3.2
2674,21,4.4,2.1,1.2
2675,82,4.4,1.9,2.4
2676,2,0.0,0.5,0.0
2677,82,14.1,4.4,2.3
2678,35,4.6,3.7,0.2
2679,80,10.5,6.1,1.9
2680,73,12.5,2.8,4.3
2681,81,3.9,2.2,1.1
2682,27,1.0,1.9,0.2
2683,17,3.1,0.7,0.2
2684,74,7.7,6.4,0.8
2685,78,10.7,9.0,1.9
2686,62,4.3,2.4,0.4
2687,81,10.7,3.8,1.5
2688,82,19.0,8.8,2.8
2689,7,3.3,3.3,0.7
2690,16,0.8,1.3,0.3
2691,80,11.8,3.6,2.3
2692,39,4.1,1.4,0.2
2693,82,6.5,2.2,3.5
2694,82,23.0,13.4,6.0
2695,65,13.0,3.9,2.6
2696,80,6.7,5.6,1.0
2697,77,16.7,8.3,2.4
2698,66,10.1,8.0,1.7
2699,39,3.4,1.1,1.7
2700,61,6.1,2.2,3.2
2701,82,8.7,3.0,1.9
2702,16,2.0,2.0,0.0
2703,73,4.5,5.9,0.3
2704,74,15.9,7.1,1.3
2705,51,2.8,2.7,0.4
2706,81,20.6,7.8,4.7
2707,76,3.0,1.2,0.9
2708,77,18.4,7.6,3.0
2709,82,5.1,3.0,3.4
2710,80,9.8,5.1,1.4
2711,58,2.3,1.3,0.8
2712,42,6.4,1.7,1.0
2713,17,1.4,0.6,0.6
2714,46,6.6,2.9,0.9
2715,80,6.9,2.3,2.6
2716,71,4.2,3.2,0.3
2717,81,5.0,3.8,0.7
2718,55,6.4,1.3,1.6
2719,82,30.0,6.9,5.9
2720,38,11.7,5.7,1.3
2721,29,7.6,7.2,1.6
2722,77,5.5,2.9,0.5
2723,69,7.6,2.3,2.0
2724,22,5.5,3.7,0.3
2725,79,10.4,6.4,1.6
2726,80,9.6,5.3,0.7
2727,16,2.5,1.4,0.0
2728,77,10.3,3.0,2.0
2729,70,11.4,7.5,1.1
2730,38,2.1,2.5,0.5
2731,55,4.8,3.0,0.3
2732,29,9.7,2.0,2.4
2733,38,5.5,1.8,0.7
2734,27,2.7,2.0,0.3
2735,12,3.6,0.3,0.3
2736,74,16.4,3.9,4.5
2737,67,12.8,4.6,3.1
2738,49,14.6,6.7,3.6
2739,22,1.9,1.0,0.2
2740,55,5.0,2.9,0.3
2741,80,7.4,5.3,0.7
2742,81,14.0,7.9,2.0
2743,12,0.5,0.6,0.3
2744,59,9.4,4.8,0.9
2745,70,3.0,1.7,1.0
2746,69,9.3,4.8,0.8
2747,78,19.7,4.4,5.8
2748,67,4.4,5.5,1.0
2749,23,4.5,4.6,0.3
2750,82,5.7,3.3,1.0
2751,69,4.0,2.8,0.3
2752,64,10.8,4.3,4.5
2753,35,4.8,2.4,0.9
2754,23,2.3,1.5,0.1
2755,70,4.2,3.1,1.0
2756,78,8.0,2.2,3.4
2757,82,8.4,3.1,1.1
2758,78,9.7,4.4,1.3
2759,67,27.5,11.1,3.1
2760,81,19.9,8.4,3.0
2761,81,6.7,5.9,0.7
2762,79,6.8,5.7,0.7
2763,81,21.2,9.5,2.4
2764,58,4.4,2.4,0.3
2765,66,6.2,1.8,2.5
2766,13,1.7,1.8,0.3
2767,30,5.8,1.9,2.5
2768,82,10.8,2.5,7.7
2769,75,3.1,1.9,0.8
2770,48,1.9,2.1,0.2
2771,81,22.3,3.2,8.1
2772,62,3.6,2.5,0.9
2773,78,8.3,3.4,1.3
2774,77,18.1,6.5,1.7
2775,74,18.1,7.4,2.1
2776,77,11.2,6.5,1.5
2777,72,7.5,2.6,1.3
2778,76,22.5,5.0,4.4
2779,67,3.2,6.6,0.5
2780,70,12.6,2.5,2.4
2781,26,3.1,1.2,0.2
2782,82,19.7,3.9,2.5
2783,80,15.5,6.4,2.5
2784,17,3.5,1.1,2.1
2785,76,9.0,4.3,3.3
2786,79,20.6,4.9,5.5
2787,12,1.6,1.4,0.3
2788,80,6.5,6.4,2.9
2789,28,5.2,1.8,2.9
2790,69,3.9,3.8,0.7
2791,47,6.8,2.0,4.6
2792,68,7.0,3.9,1.6
2793,72,9.0,3.0,1.7
2794,17,1.8,0.7,0.7
2795,72,7.7,2.1,1.6
2796,2,0.0,0.5,0.5
2797,7,0.7,0.1,0.1
2798,53,2.4,1.0,0.2
2799,81,21.0,6.2,6.2
2800,82,17.8,2.9,7.3
2801,79,11.7,10.2,1.3
2802,56,5.6,7.0,0.7
2803,75,8.6,2.0,3.5
2804,75,9.2,6.9,1.0
2805,52,5.2,3.8,0.6
2806,43,20.6,4.4,3.3
2807,59,6.9,2.7,2.2
2808,26,4.0,3.4,0.2
2809,80,9.9,7.2,3.4
2810,72,10.1,4.5,1.3
2811,79,5.6,7.0,0.3
2812,63,14.3,3.4,2.3
2813,52,17.6,4.6,2.6
2814,66,5.5,3.1,0.9
2815,82,6.1,3.5,1.3
2816,41,4.4,1.9,0.2
2817,66,11.0,2.9,1.7
2818,82,13.5,8.2,1.7
2819,77,8.4,4.5,0.5
2820,30,6.6,3.1,0.3
2821,3,2.0,1.3,0.0
2822,81,17.2,7.5,1.6
2823,47,7.8,2.3,4.1
2824,79,14.2,2.3,5.7
2825,75,4.0,0.8,0.9
2826,82,4.2,3.1,1.8
2827,32,1.9,1.9,0.4
2828,33,3.9,2.8,0.2
2829,53,6.8,1.9,1.3
2830,67,9.7,5.7,0.7
2831,36,2.6,0.9,0.4
2832,14,4.1,2.9,1.5
2833,42,3.3,1.1,0.6
2834,49,3.7,2.6,0.5
2835,81,8.7,7.5,0.9
2836,15,4.3,2.0,2.6
2837,81,23.3,12.9,3.9
2838,10,4.9,1.5,2.4
2839,80,13.3,4.9,1.3
2840,9,1.2,0.8,0.6
2841,42,7.1,4.7,0.5
2842,27,4.8,3.7,1.1
2843,63,11.6,4.2,3.7
2844,67,7.3,6.5,0.7
2845,67,9.8,3.5,2.2
2846,58,4.7,2.7,0.3
2847,82,15.5,2.6,5.3
2848,75,32.1,6.5,5.5
2849,31,2.0,0.7,0.4
2850,72,8.4,2.0,3.5
2851,37,4.4,2.8,0.6
2852,64,2.1,0.9,0.7
2853,62,9.0,2.5,1.0
2854,50,2.0,1.5,0.4
2855,52,5.9,4.4,0.5
2856,51,3.9,1.2,0.4
2857,3,0.0,0.7,0.0
2858,5,4.8,1.4,0.2
2859,12,1.3,0.4,1.3
2860,59,5.2,4.6,0.5
2861,30,6.3,4.4,0.7
2862,74,16.2,3.7,3.9
2863,66,7.2,2.7,4.6
2864,3,1.7,0.0,0.3
2865,21,4.8,2.4,1.0
2866,42,1.8,2.5,1.0
2867,72,5.1,1.2,1.0
2868,78,15.4,5.1,2.7
2869,81,10.0,7.5,1.3
2870,44,2.8,0.6,1.2
2871,47,2.9,2.3,0.3
2872,81,8.6,3.5,2.0
2873,70,4.5,3.0,1.0
2874,13,1.5,1.0,0.8
2875,26,1.2,1.1,0.3
2876,82,7.1,2.9,1.4
2877,15,0.9,0.9,0.1
2878,1,4.0,1.0,0.0
2879,67,23.0,10.5,5.4
2880,51,7.0,1.3,2.8
2881,13,2.6,1.4,0.5
2882,17,3.5,4.3,0.7
2883,64,1.9,1.2,0.3
2884,60,3.1,1.5,0.4
2885,49,3.4,4.0,0.2
2886,50,3.7,0.9,1.7
2887,5,5.6,3.0,0.6
2888,59,6.9,2.6,3.5
2889,49,4.6,1.4,1.6
2890,10,1.9,2.0,0.4
2891,78,7.4,7.2,1.2
2892,47,13.4,1.7,2.8
2893,73,17.5,4.2,2.8
2894,66,7.9,1.8,1.2
2895,82,12.0,4.4,1.3
2896,50,3.0,4.1,1.0
2897,64,16.8,5.0,1.9
2898,9,4.4,3.4,1.1
2899,81,12.2,3.9,3.3
2900,79,6.6,7.6,0.9
2901,65,7.1,1.5,2.7
2902,76,8.3,6.6,3.1
2903,46,3.7,2.3,0.5
2904,77,6.0,4.8,0.2
2905,72,3.5,1.7,1.4
2906,59,3.1,2.4,0.8
2907,82,10.3,10.2,1.3
2908,66,4.1,1.2,1.3
2909,15,1.7,0.4,0.3
2910,49,4.1,1.7,4.1
2911,82,22.2,7.0,1.9
2912,45,2.1,1.6,0.5
2913,58,10.6,4.4,4.1
2914,77,4.7,4.4,0.7
2915,80,12.0,5.3,1.7
2916,80,13.6,4.0,6.7
2917,82,13.5,8.8,1.0
2918,11,1.0,2.0,0.5
2919,78,13.2,3.1,5.3
2920,11,0.6,0.5,0.1
2921,82,27.6,4.2,5.5
2922,82,22.5,2.8,2.7
2923,82,4.8,4.9,0.5
2924,82,12.2,6.2,1.5
2925,74,4.4,3.6,1.4
2926,82,5.4,6.0,0.5
2927,19,1.6,0.4,0.6
2928,81,6.2,4.1,1.1
2929,80,9.0,4.4,3.5
2930,2,0.0,0.0,1.0
2931,65,7.2,6.4,3.2
2932,67,9.2,5.4,2.6
2933,82,7.7,2.9,3.0
2934,78,20.1,7.2,4.8
2935,5,0.8,1.0,0.2
2936,55,3.9,1.5,4.2
2937,75,10.3,4.0,5.1
2938,81,6.2,5.0,0.4
2939,6,0.3,0.3,0.0
2940,17,1.4,0.2,0.1
2941,73,13.1,8.3,2.6
2942,14,2.1,0.8,0.2
2943,75,15.2,5.3,3.3
2944,36,3.3,2.1,0.6
2945,59,15.2,3.7,3.1
2946,55,7.3,3.0,3.2
2947,80,4.7,4.6,1.4
2948,35,4.4,1.7,2.1
2949,73,6.9,15.4,1.6
2950,50,17.1,3.7,6.4
2951,48,3.3,0.6,1.3
2952,49,5.1,3.2,1.1
2953,78,6.1,4.3,1.8
2954,26,2.3,2.3,0.2
2955,4,1.0,1.5,0.0
2956,53,13.9,8.2,2.5
2957,67,3.7,1.1,1.3
2958,11,1.5,0.7,0.5
2959,12,3.4,1.3,2.4
2960,82,9.4,3.6,3.9
2961,64,8.5,7.9,1.0
2962,10,2.2,0.9,1.8
2963,83,10.8,5.1,2.2
2964,5,0.0,0.4,0.2
2965,82,21.6,6.1,5.6
2966,80,10.7,2.3,4.2
2967,73,7.8,3.6,7.5
2968,82,10.3,8.8,1.1
2969,82,22.1,4.3,4.8
2970,65,3.8,3.5,0.6
2971,33,4.9,3.7,0.4
2972,34,2.5,1.1,1.1
2973,16,4.2,4.6,0.1
2974,64,8.3,2.3,2.6
2975,73,7.7,3.7,1.4
2976,42,1.9,0.4,0.8
2977,43,1.8,0.8,0.7
2978,82,9.1,2.3,5.4
2979,5,5.2,1.6,1.4
2980,67,6.7,2.8,1.3
2981,3,0.0,0.3,0.3
2982,81,5.4,6.2,0.7
2983,29,4.2,3.5,0.4
2984,80,5.9,1.5,2.9
2985,20,4.0,2.9,0.8
2986,22,5.5,2.7,0.6
2987,51,5.8,3.5,0.7
2988,32,1.5,4.5,0.4
2989,54,7.5,5.0,0.7
2990,82,9.8,3.2,2.6
2991,37,1.6,0.8,0.7
2992,63,7.7,4.2,1.9
2993,75,2.6,2.5,0.9
2994,70,21.5,3.7,4.5
2995,71,9.7,9.2,1.3
2996,51,4.0,3.5,0.4
2997,51,5.4,4.2,0.5
2998,77,20.8,10.3,2.0
2999,53,2.3,1.1,1.4
3000,67,6.8,5.3,0.6
3001,8,5.6,2.0,0.8
3002,75,5.8,1.3,2.3
3003,77,2.1,3.6,0.7
3004,75,9.5,2.6,4.7
3005,76,12.1,2.8,8.3
3006,81,17.2,3.4,7.4
3007,82,15.6,4.6,3.0
3008,80,18.7,6.3,8.9
3009,81,5.7,4.5,1.1
3010,13,2.8,2.2,0.1
3011,75,6.0,2.9,1.3
3012,75,2.4,2.0,0.5
3013,41,1.8,2.0,0.6
3014,76,12.3,3.1,1.8
3015,55,7.5,1.8,1.6
3016,77,8.6,6.0,1.1
3017,79,5.5,2.1,2.8
3018,68,8.8,1.3,3.3
3019,70,12.5,6.5,1.2
3020,80,9.4,4.3,4.7
3021,78,13.4,9.0,1.8
3022,3,0.0,1.0,0.0
3023,77,7.9,5.3,1.3
3024,1,1.0,0.0,0.0
3025,80,25.1,9.9,3.0
3026,76,9.7,3.7,1.9
3027,24,5.8,6.4,0.8
3028,10,3.0,1.8,0.7
3029,71,6.9,4.0,1.3
3030,80,14.3,6.5,2.0
3031,64,9.4,7.0,1.4
3032,82,10.5,2.9,3.6
3033,76,13.9,3.5,4.3
3034,15,1.5,1.1,1.5
3035,61,4.6,1.4,0.7
3036,80,1.5,2.7,0.5
3037,73,16.7,2.4,3.4
3038,47,18.5,4.8,3.7
3039,29,14.5,7.1,4.2
3040,64,5.7,3.1,1.0
3041,48,6.7,4.6,1.0
3042,69,20.8,6.6,3.0
3043,2,3.0,0.0,0.5
3044,82,18.3,4.7,6.3
3045,47,4.7,2.7,0.5
3046,81,4.5,4.4,1.3
3047,80,6.0,3.6,1.0
3048,80,20.4,4.2,8.3
3049,19,1.2,0.5,0.3
3050,63,2.3,2.2,1.1
3051,21,1.3,0.9,1.6
3052,81,10.5,4.4,0.5
3053,14,1.9,0.3,0.4
3054,38,4.8,4.3,0.1
3055,69,2.2,4.3,0.3
3056,71,6.5,2.0,2.9
3057,82,8.2,6.6,0.7
3058,82,9.1,4.7,1.7
3059,82,12.9,3.7,6.6
3060,62,9.7,2.5,1.1
3061,24,3.7,1.8,1.5
3062,62,18.5,11.3,2.5
3063,56,6.1,3.2,0.9
3064,35,1.5,0.7,0.2
3065,17,1.0,1.7,0.4
3066,32,1.3,0.8,1.1
3067,56,4.7,2.0,3.6
3068,42,2.2,1.6,0.3
3069,81,15.3,8.1,1.3
3070,65,8.6,4.7,0.8
3071,16,2.9,0.9,0.9
3072,23,18.7,8.7,4.6
3073,76,6.3,5.4,0.3
3074,82,6.1,5.6,1.0
3075,21,4.0,1.4,0.3
3076,56,10.2,3.1,0.8
3077,75,11.5,7.4,1.0
3078,71,3.4,4.2,0.5
3079,12,1.0,0.8,0.1
3080,78,16.9,3.5,5.7
3081,71,6.0,2.0,3.0
3082,7,1.3,0.7,0.3
3083,7,0.1,0.1,0.0
3084,78,6.0,2.6,1.3
3085,68,9.2,4.8,1.9
3086,82,21.0,6.1,2.8
3087,75,15.5,11.4,2.0
3088,71,12.6,2.6,5.0
3089,71,4.9,3.9,0.4
3090,79,7.6,3.3,1.7
3091,72,4.0,2.0,1.0
3092,15,0.8,0.4,0.9
3093,48,5.9,4.8,1.9
3094,64,8.4,1.5,3.5
3095,52,5.0,3.9,0.6
3096,82,11.8,3.9,3.3
3097,61,14.0,2.2,2.9
3098,54,1.8,1.7,0.3
3099,16,3.4,0.4,1.4
3100,79,10.6,2.9,3.9
3101,34,1.4,1.3,0.2
3102,73,4.6,3.1,0.7
3103,79,10.9,4.5,2.1
3104,56,3.9,4.5,0.2
3105,54,4.0,2.4,0.4
3106,1,6.0,0.0,0.0
3107,6,2.2,0.7,0.0
3108,5,2.2,2.0,0.2
3109,75,5.7,4.6,0.4
3110,3,1.0,1.7,0.0
3111,82,13.4,3.8,6.1
3112,82,7.0,2.1,5.8
3113,76,4.4,5.2,0.9
3114,44,6.5,1.3,1.2
3115,20,1.8,1.2,0.6
3116,80,15.8,4.5,3.2
3117,16,3.6,3.4,0.9
3118,79,9.5,3.2,0.7
3119,62,4.0,4.4,0.9
3120,73,20.7,5.9,3.1
3121,43,2.2,0.6,0.9
3122,71,3.8,4.2,0.8
3123,82,6.9,3.1,1.4
3124,56,10.5,7.3,0.9
3125,71,8.0,2.0,4.2
3126,80,8.9,8.4,1.7
3127,42,6.9,6.1,0.9
3128,77,5.0,3.2,0.7
3129,46,4.6,0.7,2.4
3130,67,22.9,4.3,7.5
3131,17,4.0,3.2,0.4
3132,81,9.5,12.4,1.7
3133,22,1.3,0.5,0.7
3134,82,4.6,4.2,1.1
3135,80,7.5,4.1,2.9
3136,50,13.8,3.5,2.1
3137,56,7.8,4.7,1.7
3138,72,12.3,3.6,1.9
3139,76,4.5,4.5,2.4
3140,45,3.1,1.6,0.7
3141,72,14.1,10.3,4.3
3142,56,2.7,0.8,0.3
3143,36,3.5,3.3,0.5
3144,77,7.0,5.0,0.6
3145,59,10.8,3.5,5.8
3146,72,6.4,1.3,0.8
3147,42,13.2,8.7,3.9
3148,82,14.0,8.3,4.5
3149,75,5.7,2.0,1.6
3150,73,6.2,1.8,2.8
3151,11,1.5,0.6,1.0
3152,69,3.5,2.5,0.9
3153,76,8.7,6.9,0.9
3154,35,4.4,2.9,0.6
3155,75,9.2,3.4,2.6
3156,72,6.3,4.1,1.1
3157,44,3.1,3.8,0.4
3158,19,0.6,1.0,0.5
3159,79,13.3,6.4,1.7
3160,6,4.0,3.5,0.3
3161,2,1.5,0.0,0.0
3162,50,18.5,2.4,2.0
3163,20,2.1,2.3,0.6
3164,48,26.4,3.7,6.8
3165,9,1.7,1.2,0.3
3166,56,8.8,2.7,4.0
3167,59,1.9,2.3,0.3
3168,55,20.6,9.0,1.4
3169,82,14.8,4.5,6.1
3170,78,16.5,8.1,3.1
3171,71,3.2,4.5,0.6
3172,76,9.2,3.8,2.3
3173,57,3.5,1.6,0.3
3174,82,14.8,6.3,0.9
3175,5,4.4,2.2,2.4
3176,12,8.0,2.3,0.7
3177,55,5.3,2.7,1.2
3178,56,2.3,3.6,0.6
3179,21,5.4,1.9,0.5
3180,78,5.9,5.1,2.0
3181,20,11.3,5.6,0.9
3182,70,9.6,3.8,1.5
3183,81,6.0,3.9,1.0
3184,82,5.7,5.2,1.1
3185,31,6.7,1.2,2.3
3186,13,2.5,0.8,1.3
3187,82,13.7,4.9,1.5
3188,6,1.2,0.3,0.0
3189,10,2.9,5.2,0.7
3190,19,20.8,6.2,2.5
3191,80,17.3,3.5,5.1
3192,52,8.3,2.6,5.8
3193,82,13.6,10.3,1.0
3194,66,15.5,4.0,5.0
3195,66,6.6,5.2,0.9
3196,40,4.3,3.2,0.5
3197,62,4.2,4.2,0.1
3198,71,3.8,1.6,2.7
3199,31,2.1,1.0,0.4
3200,36,3.3,1.0,1.4
3201,64,4.0,2.4,1.1
3202,4,2.0,1.3,0.5
3203,53,3.3,1.5,1.5
3204,41,3.5,1.3,0.3
3205,67,15.5,6.4,9.2
3206,78,18.7,6.7,2.9
3207,71,9.4,2.1,1.9
3208,67,8.6,5.5,1.4
3209,4,1.3,1.3,0.0
3210,21,7.0,1.9,0.4
3211,3,2.3,0.7,0.0
3212,37,4.3,1.6,0.4
3213,77,5.8,2.5,1.7
3214,17,2.9,6.5,0.4
3215,76,10.9,8.5,1.0
3216,82,16.7,4.7,4.4
3217,81,9.2,3.7,2.3
3218,17,0.2,0.5,0.2
3219,80,12.9,6.1,2.8
3220,68,6.2,7.0,1.1
3221,35,2.9,3.2,0.2
3222,65,5.0,3.5,0.5
3223,2,1.0,0.5,0.0
3224,78,20.1,10.0,2.1
3225,2,0.0,2.0,0.0
3226,11,2.3,1.4,0.4
3227,70,11.8,2.5,6.1
3228,82,6.1,7.4,0.8
3229,72,10.9,2.0,6.8
3230,81,16.8,4.1,5.4
3231,26,13.9,3.6,4.0
3232,80,11.4,3.7,2.0
3233,67,6.9,1.9,4.1
3234,4,2.0,2.8,0.5
3235,81,17.3,3.8,3.2
3236,60,6.8,2.3,2.5
3237,22,2.3,0.8,0.7
3238,81,5.7,2.2,5.0
3239,82,10.2,1.7,3.6
3240,61,16.2,4.0,4.5
3241,79,11.6,6.5,1.1
3242,61,3.7,1.4,2.3
3243,82,10.1,4.0,4.2
3244,82,14.7,9.9,1.5
3245,60,4.0,2.7,0.4
3246,77,21.8,8.7,2.7
3247,69,9.0,3.9,1.9
3248,65,5.6,6.7,0.4
3249,58,4.0,2.2,0.6
3250,82,7.4,4.0,1.4
3251,10,3.2,2.4,0.3
3252,82,14.4,4.4,1.9
3253,7,1.9,0.6,0.1
3254,9,2.9,1.4,0.2
3255,34,8.0,5.6,1.4
3256,82,7.1,1.9,2.3
3257,51,13.6,3.6,4.5
3258,51,6.7,2.0,1.1
3259,73,14.7,6.2,0.9
3260,58,3.0,2.7,0.4
3261,65,5.6,3.2,0.7
3262,80,9.2,4.5,1.9
3263,78,6.8,7.4,1.6
3264,53,3.1,1.9,0.8
3265,73,11.3,3.1,1.7
3266,42,16.6,4.5,1.4
3267,18,3.7,2.3,1.3
3268,55,19.6,4.6,5.0
3269,37,2.0,2.0,0.5
3270,78,4.8,4.0,1.5
3271,68,5.6,3.2,0.7
3272,82,14.6,4.2,5.5
3273,55,4.1,4.2,1.3
3274,81,4.9,1.6,2.1
3275,56,3.9,0.9,2.2
3276,62,3.5,3.3,0.5
3277,82,12.4,2.5,2.5
3278,79,8.9,6.7,0.9
3279,66,1.9,3.5,0.4
3280,43,5.4,1.7,2.1
3281,74,12.3,12.0,0.8
3282,71,10.0,4.0,1.7
3283,82,10.3,3.4,6.9
3284,49,4.1,1.5,0.5
3285,69,20.0,10.3,3.3
3286,79,6.7,3.4,1.4
3287,81,17.0,7.0,2.0
3288,73,6.8,4.3,1.3
3289,72,16.1,7.0,1.7
3290,81,19.8,3.3,7.3
3291,33,3.2,3.4,0.2
3292,82,8.0,7.6,0.3
3293,79,4.8,2.0,0.8
3294,61,1.7,2.7,0.2
3295,58,3.4,2.4,0.4
3296,43,4.6,3.1,0.4
3297,23,5.9,3.0,2.2
3298,10,3.4,1.1,0.2
3299,55,2.6,1.8,0.5
3300,53,4.8,1.1,2.2
3301,80,7.9,2.8,1.5
3302,79,8.5,3.8,1.3
3303,6,3.7,0.7,0.8
3304,67,21.5,11.5,2.9
3305,85,16.3,7.5,2.0
3306,66,3.3,2.6,0.3
3307,79,19.0,9.3,2.7
3308,68,8.3,5.0,0.8
3309,1,0.0,0.0,0.0
3310,60,10.6,2.6,4.5
3311,69,5.8,2.5,1.2
3312,80,18.1,4.6,3.1
3313,2,1.0,1.5,0.5
3314,52,0.9,1.7,0.3
3315,4,1.0,0.8,0.5
3316,73,6.9,3.7,1.9
3317,45,6.8,1.4,0.5
3318,82,7.0,1.9,3.7
3319,56,23.0,5.1,4.8
3320,38,1.8,1.0,1.1
3321,75,2.9,5.4,0.4
3322,80,10.0,2.4,3.1
3323,78,17.6,3.6,4.0
3324,82,18.5,5.7,3.8
3325,54,3.4,1.0,0.4
3326,40,3.0,0.9,2.1
3327,38,4.8,2.7,2.6
3328,81,20.2,3.2,8.9
3329,79,14.4,4.5,3.3
3330,81,4.8,3.4,1.2
3331,26,1.9,0.7,1.0
3332,71,5.1,3.7,0.6
3333,61,6.3,2.5,4.0
3334,22,1.9,0.7,0.3
3335,69,7.8,4.4,2.0
3336,72,7.5,2.3,0.8
3337,26,3.7,1.2,1.0
3338,39,5.0,1.3,0.6
3339,47,6.2,3.6,1.2
3340,9,0.4,0.1,0.1
3341,32,1.0,1.6,0.4
3342,82,8.7,7.7,1.4
3343,75,5.9,1.6,2.8
3344,78,14.5,3.0,8.8
3345,5,1.8,1.6,0.0
3346,76,10.5,2.5,4.2
3347,35,6.1,7.7,0.7
3348,75,7.3,6.3,0.7
3349,54,9.8,5.2,1.2
3350,73,22.5,4.8,4.8
3351,65,7.1,4.4,0.8
3352,81,9.9,5.7,5.3
3353,77,12.0,5.3,1.8
3354,42,2.6,3.0,0.5
3355,73,14.2,2.7,2.1
3356,28,10.2,3.1,1.2
3357,77,7.9,3.1,1.6
3358,16,2.9,1.1,0.1
3359,58,5.8,2.0,1.1
3360,53,6.9,1.2,1.0
3361,82,17.5,9.0,1.5
3362,81,20.1,10.5,2.0
3363,49,4.1,2.0,0.8
3364,59,3.3,2.9,0.2
3365,24,3.8,2.4,0.3
3366,45,3.8,3.2,0.3
3367,49,3.1,1.1,1.4
3368,28,10.0,6.2,0.7
3369,29,7.5,1.2,2.4
3370,6,1.8,0.7,0.7
3371,81,5.0,3.2,1.6
3372,59,3.2,2.9,0.2
3373,71,5.0,1.1,0.8
3374,77,9.4,4.9,0.5
3375,55,7.1,3.2,6.5
3376,22,2.4,1.1,0.6
3377,82,10.3,4.8,2.3
3378,85,7.9,7.2,0.8
3379,20,2.2,2.1,0.4
3380,3,2.0,0.3,0.7
3381,69,22.3,12.4,3.1
3382,66,14.7,4.8,1.9
3383,79,16.6,5.5,6.2
3384,55,2.9,3.4,1.1
3385,73,5.6,4.9,0.8
3386,33,6.0,1.8,0.8
3387,59,4.3,3.2,0.5
3388,75,14.7,3.2,5.5
3389,15,2.7,2.6,0.5
3390,67,28.0,6.0,5.5
3391,7,1.1,0.7,0.1
3392,61,2.8,1.1,1.8
3393,41,3.0,1.7,0.5
3394,8,1.0,0.5,0.1
3395,36,1.2,1.5,0.4
3396,73,8.4,3.7,2.7
3397,33,2.7,1.0,1.8
3398,68,16.0,6.8,2.3
3399,4,2.0,1.8,1.0
3400,62,4.0,3.0,0.3
3401,38,3.2,3.5,0.3
3402,65,9.4,6.8,1.1
3403,69,6.9,2.0,2.0
3404,69,5.5,1.6,2.4
3405,72,2.4,1.8,1.6
3406,21,4.6,2.1,0.4
3407,45,4.2,2.6,0.4
3408,67,7.9,4.8,1.0
3409,28,3.5,4.0,0.0
3410,77,12.8,4.5,3.8
3411,22,9.4,5.7,0.8
